,player_id,name,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_games_played,performance_career,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
0,18644,Álvaro Negredo,2687,1985-08-20,Attack,1200000.0,27000000.0,2023-06-30,2022,1985,37,9,59,25,0,14093,30,244,1463.4258196721314,7,3,0,2065,4,17,7,0,4280,7,73,447.66301369863015,10,4,0,2215,3,40,234.5875,1,1637.9165520056326,23.760548510904883
1,70114,Anton Zabolotnyi,2410,1991-06-13,Attack,1200000.0,2500000.0,2024-06-30,2022,1991,31,6,30,21,0,9255,20,157,960.0449044585988,0,1,0,916,2,12,7,0,3224,6,54,338.52037037037036,12,6,0,2308,4,29,245.9586206896552,1,1233.8584026680585,17.8990513260783
2,68718,Yoann Touzghar,1147,1986-11-28,Attack,500000.0,1750000.0,2024-06-30,2022,1986,36,5,12,1,0,3726,1,65,388.63230769230773,0,0,0,320,0,4,0,0,1779,0,35,187.68285714285713,2,0,0,989,0,15,107.59333333333333,1,583.5032173382174,8.464629339545322
3,479019,Marokhy Ndione,1063,1999-11-04,Attack,300000.0,600000.0,2025-06-30,2022,1999,23,2,5,0,0,566,2,15,63.873333333333335,1,0,0,346,2,5,0,0,566,2,15,63.873333333333335,4,0,0,220,0,6,27.46666666666667,1,155.2568115942029,2.2522435584494853
4,22328,Fabio Quagliarella,1038,1983-01-31,Attack,1000000.0,17500000.0,2023-06-30,2022,1983,39,10,113,20,0,22053,29,308,2283.4100649350653,3,2,0,1030,0,12,4,0,3423,4,69,358.56086956521733,9,2,0,2393,4,39,252.93589743589746,1,1932.6104393794612,28.035545547987706
5,112343,Manolo Gabbiadini,1038,1991-11-26,Attack,3000000.0,18000000.0,2026-06-30,2022,1991,31,10,74,26,1,12868,18,262,1343.2114503816795,2,2,0,1026,2,11,6,0,2656,7,48,280.6833333333334,9,4,0,1630,5,28,175.3714285714286,1,1268.163444084849,18.39669975618553
6,631704,Alassana Jatta,1063,1999-01-12,Attack,400000.0,400000.0,2024-06-30,2022,1999,23,3,6,1,0,813,1,35,89.12285714285716,6,1,0,512,1,6,1,0,745,1,34,82.09117647058824,0,0,0,233,0,13,26.392307692307693,1,194.15571836092295,2.8165332105200136
7,94307,Filip Djuricic,1038,1992-01-30,Attack,2500000.0,10000000.0,2024-06-30,2022,1992,30,10,16,32,1,10914,16,195,1123.596923076923,2,5,0,1092,0,6,10,1,3141,4,50,327.582,4,5,1,2005,4,31,211.91774193548386,1,1265.255870140612,18.354520835857453
8,283528,Ignacio Pussetto,1038,1995-12-21,Attack,2500000.0,10000000.0,2023-06-30,2022,1995,27,5,15,18,0,5233,11,107,545.2406542056076,0,1,0,196,0,6,6,0,1680,4,38,178.72105263157897,3,3,0,897,1,16,97.90625,1,638.7007486427649,9.26535610345642
9,188077,Ryan Christie,989,1995-02-22,Attack,9000000.0,9000000.0,2024-06-30,2022,1995,27,10,61,29,1,17896,58,261,1853.806704980843,1,1,0,997,0,3,2,0,1995,3,32,210.484375,2,1,0,998,3,14,109.62857142857145,1,1352.4436716041782,19.61931664227231
10,140191,Ryan Fredericks,989,1992-10-10,Defender,2000000.0,7000000.0,2024-06-30,2022,1992,30,6,2,17,0,5353,5,84,546.4226190476192,0,1,0,478,0,1,2,0,1611,1,34,168.8882352941177,1,0,0,531,1,15,58.29,1,584.9336624649861,8.485380189632988
11,163744,Jack Stephens,989,1994-01-27,Defender,5000000.0,8000000.0,2023-05-31,2022,1994,28,8,5,24,2,12232,6,149,1240.5593959731546,0,1,0,182,0,0,7,0,2696,0,36,278.9388888888889,0,4,0,1724,0,21,181.7095238095238,1,1220.5404122722916,17.705852987323556
12,469781,Marcos Senesi,989,1997-05-10,Defender,17000000.0,20000000.0,2026-06-30,2022,1997,25,5,9,18,0,10370,8,124,1054.5129032258064,0,2,0,1279,0,3,9,0,6198,5,74,633.9756756756757,3,6,0,3716,5,43,383.6918604651163,1,1862.0118255915331,27.01140192744938
13,348601,Mehdi Léris,1038,1998-05-23,Midfield,2200000.0,2500000.0,2024-06-30,2022,1998,24,7,2,17,0,4433,3,89,455.68089887640446,0,5,0,959,1,0,6,0,1178,1,26,124.28076923076924,0,1,0,219,0,11,24.840909090909097,1,439.24834570859855,6.371986175830516
14,75942,Tomás Rincón,1038,1988-01-13,Midfield,800000.0,9000000.0,2023-06-30,2022,1988,34,10,11,85,1,23052,16,304,2335.9328947368426,0,7,0,2491,2,1,16,0,4559,2,66,467.65757575757584,1,9,0,2068,0,32,215.26250000000002,1,2084.8623698283145,30.244198592539423
15,171399,Nicola Murru,1038,1994-12-16,Defender,1600000.0,7000000.0,2024-06-30,2022,1994,28,10,1,35,1,12668,11,179,1283.8770949720672,0,2,0,1092,0,1,6,0,1853,0,40,192.48250000000002,1,4,0,761,0,19,81.05526315789474,1,1011.8961320724998,14.679140463331104
16,111227,Andrea Conti,1038,1994-03-02,Defender,1000000.0,18000000.0,2025-06-30,2022,1994,28,8,12,34,0,7952,10,123,807.0650406504066,2,2,0,434,0,2,5,0,1280,0,25,134.47,0,3,0,834,0,14,90.00714285714287,1,695.3875203252032,10.087686634787744
17,284595,Tommaso Augello,1038,1994-08-30,Defender,2500000.0,4000000.0,2025-06-30,2022,1994,28,5,3,5,1,9027,10,119,921.7857142857143,0,1,0,2244,5,1,2,0,5889,7,78,604.4999999999999,1,1,0,3645,2,43,377.2767441860465,1,1745.0088870431891,25.314090795272243
18,131102,Jeison Murillo,1038,1992-05-27,Defender,2500000.0,18000000.0,2023-06-30,2022,1992,30,10,6,57,2,16393,2,207,1653.5693236714978,0,2,0,639,0,2,12,1,3591,0,50,368.08200000000005,2,8,0,2674,0,33,276.9030303030304,1,1655.9773588054459,24.02254884027915
19,482145,Issah Abass,3325,1998-09-26,Attack,600000.0,1500000.0,2025-06-30,2022,1998,24,6,10,11,1,2502,3,52,263.3115384615385,1,3,0,410,1,1,4,0,529,1,18,57.988888888888894,0,1,0,119,0,8,14.137500000000001,1,232.90160256410257,3.378603030304329
20,387378,Luther Singh,3325,1997-08-05,Attack,1000000.0,3000000.0,2023-06-30,2022,1997,25,5,10,12,0,4937,8,82,512.3207317073171,1,3,0,406,0,5,7,0,1542,4,34,164.28529411764708,4,4,0,1136,4,23,122.83913043478262,1,625.5274374649118,9.074256563673792
21,364233,Sidy Sarr,3325,1996-06-05,Midfield,700000.0,2000000.0,2023-06-30,2022,1996,26,7,0,11,0,2362,3,64,245.39062500000003,0,0,0,98,0,0,0,0,230,0,4,29.15,0,0,0,132,0,2,20.0,1,186.55492788461538,2.7062718235083336
22,54716,Steven Vitória,3325,1987-01-11,Defender,100000.0,3800000.0,2023-06-30,2022,1987,35,5,14,30,1,6061,0,76,614.575,2,3,1,1260,0,7,20,1,3332,0,42,340.3833333333334,5,12,0,1608,0,21,167.80714285714285,1,985.7410714285714,14.299720286842415
23,341516,Ponck,3325,1995-01-13,Defender,400000.0,1700000.0,2023-06-30,2022,1995,27,9,4,27,1,14094,3,180,1428.68,0,2,1,424,0,0,12,1,2937,1,37,302.1378378378378,0,5,0,1343,0,19,142.0184210526316,1,1309.731844476055,18.999714600138685
24,332615,Nélson Monte,3325,1995-07-20,Defender,800000.0,2000000.0,2023-06-30,2022,1995,27,10,0,26,1,10885,2,140,1103.6750000000002,0,5,0,1279,0,0,5,1,1711,0,26,178.73076923076923,0,0,1,432,0,11,47.92727272727274,1,868.0461117586118,12.592370302923667
25,718318,Ibrahim Said,1063,2002-06-15,Attack,500000.0,500000.0,2026-06-30,2022,2002,20,3,4,7,0,2030,4,41,213.9012195121951,3,5,0,1526,3,4,7,0,1985,4,40,209.3125,1,2,0,459,1,15,50.91000000000001,1,471.90435975609756,6.845712877595797
26,589139,Sofus Berger,1063,2003-06-02,Midfield,250000.0,300000.0,2024-12-31,2022,2003,19,2,1,1,0,633,3,30,69.16000000000001,1,0,0,318,2,1,1,0,633,3,30,69.16000000000001,0,1,0,315,1,14,35.25,1,173.6226315789474,2.5186685824567934
